Name	Source: Name	Aliases or alternative spellings (semi-colon separated)	Source: Aliases or alternative spellings	Organization	Source: Organization	Role	Source: Role	Title (official title)	Source: Title	Rank	Source: Rank
Abdu Wada	19444c66-a9eb-4a74-ba67-18d768d39d13			Zuru Police Area Command	19444c66-a9eb-4a74-ba67-18d768d39d13	Commander	19444c66-a9eb-4a74-ba67-18d768d39d13				
Alhaji Mohammed Murtala Abbas	8d331b94-c23b-4d57-b0bb-c48fccb5521c	Alhaji Mohammed Abbas ; M.M. Abass	c45fc35c-2387-488a-83de-2aa9c5733bac;be938d98-4e67-4de0-8d62-93b339f670e1	Zone 9 Police Command	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1	Commander	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1			Assistant Inspector General of Police	c45fc35c-2387-488a-83de-2aa9c5733bac;8d331b94-c23b-4d57-b0bb-c48fccb5521c;be938d98-4e67-4de0-8d62-93b339f670e1
Bala Magaji Nasarawa	fe496997-13ea-4265-8736-89834663ca23;edd7e16f-481e-409e-8c58-70bc13afc127	Ballah Nasarawa ; Bala Nasarawa ; Ballah Magaji Na­sarawa ; Balla Nasarawa ; Bala M Nasarawa	d683a540-8984-4c6b-97e5-c4f0a39bee38;ff894845-3ca0-4287-ac9d-ac0619cc98ad;efdfbef6-89c7-4504-a9f5-70621a4f550e;62dd0aba-b120-4097-bd93-844dd4cd728e;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;bdfdd6c5-9121-434a-bc11-e0d9edbbbb5f;c21e9e20-97ca-47ce-be5b-0a86552c46a5;8b9e3566-0e11-4131-b8a3-c3856c2d701f;31aebb45-ce98-4f8b-b3dd-c05e3b2233be;faf28285-87ef-46dc-b203-a09bbc1e7eee;b2f12e8a-0133-4a91-b17c-fc809957ed85;4e2eb619-a7d5-4ed2-9b5d-b52379479464;b166faeb-7005-422d-8dd1-b8039edc0705;8425d600-04c5-44a9-99d6-e8f51f5a8d1e;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	31aebb45-ce98-4f8b-b3dd-c05e3b2233be	Commander	31aebb45-ce98-4f8b-b3dd-c05e3b2233be			Assistant Inspector General of Police	31aebb45-ce98-4f8b-b3dd-c05e3b2233be
Karma Hosea Hassan	b166faeb-7005-422d-8dd1-b8039edc0705;95373916-7e9f-49e5-bef2-732a676bd592	Karma Hassan ; Hassan Karma ; Hosea Karma ; Hosea Karma Hassan	49d1cb34-8a27-46c1-a4ab-cf2c15bc57b4;d468eb4c-6084-4c8a-9d27-cad2e151f09b;507837d6-ba82-4be3-945f-1ad45e23d5ac;c6b1aba2-2242-4106-a3d9-d99a0738f4f5;a8061fae-e4d3-4d89-aa9b-2e82960c6dca;4e2eb619-a7d5-4ed2-9b5d-b52379479464;3f2b15ca-1db3-4310-a497-c9c647f6d5b8;6343db72-2ecd-454a-9f2e-5ef6ddaec6bb;2d4edd40-84c9-4e9e-a163-10e3b58fa80e;45f509b4-72cf-4467-97ef-2cdb8ff100a7;65d654a8-2704-46b9-834a-f5b037dbf52f	Zone 9 Police Command	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f	Commander	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f			Assistant Inspector General of Police	95373916-7e9f-49e5-bef2-732a676bd592;65d654a8-2704-46b9-834a-f5b037dbf52f
Mohammed Zarewa	0c82d950-469f-4096-ac06-c27bde163a53;548ff4e3-0c50-4125-9ab3-aa37295a43a5;4cba13ed-480d-4eca-b204-46a83bd631f7			Zone 9 Police Command	548ff4e3-0c50-4125-9ab3-aa37295a43a5	Commander	548ff4e3-0c50-4125-9ab3-aa37295a43a5			Assistant Inspector General of Police	548ff4e3-0c50-4125-9ab3-aa37295a43a5
Sunday Aghedo	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171			Zone 9 Police Command	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171	Commander	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171			Assistant Inspector General of Police	2a11ce0b-c0b7-4c84-a2e5-663a1ea3b171
Usman Akila Gwary	8e919380-7581-4f1e-b18d-7e66dfea171b;40431283-4a69-425d-a357-e74f338dc39a;edd7e16f-481e-409e-8c58-70bc13afc127;1204a952-4ea1-450c-92d1-0d8b2f49d151	Usman Gwary;Usman Gwari	8589d441-bde2-44cf-9f7b-d6ca0bb814ff;93f2cbde-9f31-4eac-a694-9f42aeeabbec;1e28bc60-5117-4d81-9996-be2391417b26;b739573e-e7ca-43c9-874c-bbf75a2e3f23;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a	Commander	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a			Assistant Inspector General of Police	edd7e16f-481e-409e-8c58-70bc13afc127;8e919380-7581-4f1e-b18d-7e66dfea171b;edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a
Usman Akila Gwary	8e919380-7581-4f1e-b18d-7e66dfea171b;40431283-4a69-425d-a357-e74f338dc39a;edd7e16f-481e-409e-8c58-70bc13afc127;1204a952-4ea1-450c-92d1-0d8b2f49d151	Usman Gwary;Usman Gwari	8589d441-bde2-44cf-9f7b-d6ca0bb814ff;93f2cbde-9f31-4eac-a694-9f42aeeabbec;1e28bc60-5117-4d81-9996-be2391417b26;b739573e-e7ca-43c9-874c-bbf75a2e3f23;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Zone 9 Police Command	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Commander	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0			Assistant Inspector General of Police	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0
Alhaji Lawal Tanko	e39fd784-3ae4-41ba-9aea-fad23f433f6c;c953d656-5ad2-4f70-80ba-3fd6263e7697	Lawal Tanko ; Lawan Tanko ; Tanko Lawan ; Lawa Tanko	47ae924b-50fc-45c6-ad32-0ddc42ed1843;aedecd7e-820e-4888-afe9-35cc103db4e5;702be5eb-b082-48be-89c2-86f0bd037d09;4bf889e9-d881-4295-a498-6e3dfaa40d1b;881f3ace-a776-46d1-b374-2b5307a7e0bc;ece46f2a-4a32-4236-8e26-93b28fd00324;2592294c-1f4a-4d96-94b0-46c162dac8d2;ff894845-3ca0-4287-ac9d-ac0619cc98ad;296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;8e919380-7581-4f1e-b18d-7e66dfea171b;9843fa92-3c0d-45b1-9099-a308053065ab;f7c8d78e-d30a-4280-92fa-563cc96f8eb7;b646cfd3-f51a-447f-b51d-1a1b1ca5056d;2739f0e0-b593-4f5f-852b-d2007f107dd0;91dad077-d767-41e8-9156-fb0b9c65685f;a57786de-70df-4ac2-9512-fcc4b6d3bc34;e6900697-fe44-4b99-83a2-d01591b56cd0;edd7e16f-481e-409e-8c58-70bc13afc127	Zone 8 Police Command	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0	Commander	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0			Assistant Inspector General of Police	296fd1ba-f9d4-4219-9fa7-6e8ef53bcb74;e6900697-fe44-4b99-83a2-d01591b56cd0
Christopher Terhrem Dega	edd7e16f-481e-409e-8c58-70bc13afc127	Christopher Dega ; Chris Dega ; Christopher T. Dega	f9f524ee-9f0c-46ff-b6f6-a7205be26d63;ff894845-3ca0-4287-ac9d-ac0619cc98ad;0f8dd773-468c-4067-b463-c62611a4190d;40431283-4a69-425d-a357-e74f338dc39a	Zone 8 Police Command	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a	Commander	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a			Assistant Inspector General of Police	edd7e16f-481e-409e-8c58-70bc13afc127;40431283-4a69-425d-a357-e74f338dc39a
Donald Iroham	b630a647-4a9a-426a-add0-39fb59be03a7;eecae4d2-9f6f-4a0d-a8aa-10c96b815aff			Zone 8 Police Command	b630a647-4a9a-426a-add0-39fb59be03a7	Commander	b630a647-4a9a-426a-add0-39fb59be03a7			Assistant Inspector General of Police	b630a647-4a9a-426a-add0-39fb59be03a7
Emmanuel Anunlru	740a77b0-4630-42d4-b5ee-4bcfc7572240			Zone 8 Police Command	740a77b0-4630-42d4-b5ee-4bcfc7572240	Commander	740a77b0-4630-42d4-b5ee-4bcfc7572240			Assistant Inspector General of Police	740a77b0-4630-42d4-b5ee-4bcfc7572240
Tijana Baba	86445d36-47b3-402e-ac84-abbd39a288c8;95373916-7e9f-49e5-bef2-732a676bd592			Zone 8 Police Command	95373916-7e9f-49e5-bef2-732a676bd592	Commander	95373916-7e9f-49e5-bef2-732a676bd592			Assistant Inspector General of Police	95373916-7e9f-49e5-bef2-732a676bd592
Mohammed Abubakar (Zone 12 Police Command)	689a045e-0685-4119-aebb-8085e95d0c4f			Zone 12 Police Command	689a045e-0685-4119-aebb-8085e95d0c4f	Commander	689a045e-0685-4119-aebb-8085e95d0c4f			Assistant Inspector General of Police	689a045e-0685-4119-aebb-8085e95d0c4f
Aminu Yusuf	6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9			Zamfara State Police Command	6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9	Commander	6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9			Commissioner of Police	6f8582c2-d4da-4f17-8e7b-a08d0c51c8b9
Suleimon Lawal	54f2492c-09b5-435e-a70e-87ed4cc47584			Yobe State Police Command	54f2492c-09b5-435e-a70e-87ed4cc47584	Commander	54f2492c-09b5-435e-a70e-87ed4cc47584			Commissioner of Police	54f2492c-09b5-435e-a70e-87ed4cc47584
Alhaji Sanusi Rufai	c9d8200d-9a67-4492-909b-3160756ae468			Yobe State Police Command	c9d8200d-9a67-4492-909b-3160756ae468	Commander	c9d8200d-9a67-4492-909b-3160756ae468			Commissioner of Police	c9d8200d-9a67-4492-909b-3160756ae468
Jonathan Ango	bf0b4628-a7a4-478b-9604-be6f2f6df284			Western Naval Command	bf0b4628-a7a4-478b-9604-be6f2f6df284	Commander	bf0b4628-a7a4-478b-9604-be6f2f6df284	Flag Officer Commanding	bf0b4628-a7a4-478b-9604-be6f2f6df284	Rear Admiral	bf0b4628-a7a4-478b-9604-be6f2f6df284
Aworisola Awotunde	814ba219-30ae-408a-b63f-65538a9b97bc			Ughelli Police Area Command	814ba219-30ae-408a-b63f-65538a9b97bc	Commander	814ba219-30ae-408a-b63f-65538a9b97bc			Assistant Commissioner of Police	814ba219-30ae-408a-b63f-65538a9b97bc
Bassey Essien	21bbcea9-b260-4190-9f20-2da038fac28a			Ughelli Police Area Command	21bbcea9-b260-4190-9f20-2da038fac28a	Commander	21bbcea9-b260-4190-9f20-2da038fac28a				
Usman Ndanbabo	7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f			Ughelli Police Area Command	7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f	Commander	7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f			Assistant Commissioner of Police	7d8467e1-ea00-48d2-857a-356d0b645536;62223080-dd2b-47b7-bb70-f19a95f1da9f
Chris Sorgbara	bedcaf24-742f-4e19-b1ee-42b27dc55024	Chris Sogbora	36facafc-a090-4569-933f-4af294a24f69	Ughelli 'A' Police Division	36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024	Commander	36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024	Divisional Police Officer	36facafc-a090-4569-933f-4af294a24f69;bedcaf24-742f-4e19-b1ee-42b27dc55024		
Hassan Galadima	f639f317-abcb-4f73-83e3-4a6f4b0c90ea			Ughelli 'A' Police Division	f639f317-abcb-4f73-83e3-4a6f4b0c90ea	Commander	f639f317-abcb-4f73-83e3-4a6f4b0c90ea	Divisional Police Officer	f639f317-abcb-4f73-83e3-4a6f4b0c90ea		
Nnamdi Ngwokor	54f71a7b-894d-45ff-ba88-275b4e342d30			Ughelli 'A' Police Division	54f71a7b-894d-45ff-ba88-275b4e342d30	Commander	54f71a7b-894d-45ff-ba88-275b4e342d30	Divisional Police Officer	54f71a7b-894d-45ff-ba88-275b4e342d30		
Edith Ozobia	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb			Tarkwa Bay Police Division	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Commander	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Divisional Police Officer	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Superintendent of Police	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb
Aliyu Musa (Taraba State Police Command)	9db7365a-d90c-4356-922e-cd292d77af47			Taraba State Police Command	9db7365a-d90c-4356-922e-cd292d77af47	Commander	9db7365a-d90c-4356-922e-cd292d77af47			Commissioner of Police	9db7365a-d90c-4356-922e-cd292d77af47
David Akinremi	42787f7c-4e2d-44c8-91a1-846be63daade			Taraba State Police Command	42787f7c-4e2d-44c8-91a1-846be63daade	Commander	42787f7c-4e2d-44c8-91a1-846be63daade			Commissioner of Police	42787f7c-4e2d-44c8-91a1-846be63daade
AE Okpere	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
AH Lawal	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Group Captain	747ea676-8906-4d75-b0ae-740939e7c61d
AH Lawal	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
C Onyemaobi	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
CAE Dada	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
CO Onugha	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
CU Ugah	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
EE Edem	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
EE Edem	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
EO Adeleye	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
FG Dilli	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
FO Gbadebo	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
GA Osho	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
GB Odesola	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
IM Alfa	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Group Captain	747ea676-8906-4d75-b0ae-740939e7c61d
IM Alfa	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
JO Babalola	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
JO Okoiye	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
MAD Bello	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
NE Eduok	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
NN Dilli	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
NO Yussuf	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
Paul Dike	b2b830c3-807c-48a3-a37e-6fb63cc08bf2;332de7eb-9347-4d5a-94ac-b1a29034a828	PC Dike	747ea676-8906-4d75-b0ae-740939e7c61d	Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
RA Ojuawo	d13c203d-33ed-425a-aba6-4f53ed199fc7			Tactical Air Command	d13c203d-33ed-425a-aba6-4f53ed199fc7	Commander	d13c203d-33ed-425a-aba6-4f53ed199fc7	Air Officer Commanding	d13c203d-33ed-425a-aba6-4f53ed199fc7	Air Vice Marshal	d13c203d-33ed-425a-aba6-4f53ed199fc7
SA Atawodi	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
SA Atawodi	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Vice Marshal	747ea676-8906-4d75-b0ae-740939e7c61d
WI Aleyideino	747ea676-8906-4d75-b0ae-740939e7c61d			Tactical Air Command	747ea676-8906-4d75-b0ae-740939e7c61d	Commander	747ea676-8906-4d75-b0ae-740939e7c61d	Air Officer Commanding	747ea676-8906-4d75-b0ae-740939e7c61d	Air Commodore	747ea676-8906-4d75-b0ae-740939e7c61d
Alhaji Abubakar Mohammed	ef76de51-6af5-4ab5-b2c8-0921539de34f			Sokoto State Police Command	ef76de51-6af5-4ab5-b2c8-0921539de34f	Commander	ef76de51-6af5-4ab5-b2c8-0921539de34f			Commissioner of Police	ef76de51-6af5-4ab5-b2c8-0921539de34f
Kenneth Ebrimson	d94cd7bf-bee9-4da7-99a6-bf8c1091d688			Sokoto State Police Command	d94cd7bf-bee9-4da7-99a6-bf8c1091d688	Commander	d94cd7bf-bee9-4da7-99a6-bf8c1091d688			Commissioner of Police	d94cd7bf-bee9-4da7-99a6-bf8c1091d688
Olalekan Coker	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb			Shomolu Police Division	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Commander	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Divisional Police Officer	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Chief Superintendent of Police	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb
Nwachukwu Eburaja	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb			Shasha Police Division	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Commander	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Divisional Police Officer	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Superintendent of Police	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb
Mohammed Mu'Azu	3fd28aae-88ff-45bc-b066-171d60d04282	Mohammed Mu’azu	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Seme Police Division	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb;3fd28aae-88ff-45bc-b066-171d60d04282	Commander	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb;3fd28aae-88ff-45bc-b066-171d60d04282	Divisional Police Officer	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb;3fd28aae-88ff-45bc-b066-171d60d04282	Chief Superintendent of Police	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb;3fd28aae-88ff-45bc-b066-171d60d04282
Abdulsalami Abubakar	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Military Head of State	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Goodluck Ebele Jonathan	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	President	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Goodluck Ebele Jonathan	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Acting President	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Muhammadu Buhari	c00d0dd9-587f-43b7-9f03-f85e26149041			President of the Federal Republic of Nigeria	c00d0dd9-587f-43b7-9f03-f85e26149041	Commander	c00d0dd9-587f-43b7-9f03-f85e26149041	President	c00d0dd9-587f-43b7-9f03-f85e26149041		
Olusegun Obasanjo	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	President	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Sani Abacha	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Military Head of State	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Umaru Musa Yar’Adua	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2			President of the Federal Republic of Nigeria	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	Commander	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2	President	18c4130a-3fa0-4ffa-9d68-f20ed1131ae2		
Aniefiok W. Akpan	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb			Pen Cinema Police Division	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Commander	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Divisional Police Officer	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	Chief Superintendent of Police	1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb
