source,matched_on,person:name,person:alias,person:org,person:role,person:title,person:rank,title,page,published_on,access_date,source_url,archive_url,archive_timestamp,source_id,alias_source_id,country,key,publication_title,new_pub_id
002fcbe4-503c-400d-8cc0-77a395570ade,name,Lamidi Adeosun,Adeosun;LO Adeosun;O Adeosun,7 Division,Commander,General Officer Commanding,Major General,Military Recaptures Bama As More Insurgents Are Killed in Adamawa,,2015-03-11,,http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,https://web.archive.org/web/20150330042016/http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,2015-03-30T04:20:16,002fcbe4-503c-400d-8cc0-77a395570ade,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
002fcbe4-503c-400d-8cc0-77a395570ade,alias,Fatai Oladipo Alli,Fatai Alli ; F.O. Alli ; F.O.Alli ; FO Ali,3 Armoured Division,Commander,General Officer Commanding,Major General,Military Recaptures Bama As More Insurgents Are Killed in Adamawa,,2015-03-11,,http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,https://web.archive.org/web/20150330042016/http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,2015-03-30T04:20:16,002fcbe4-503c-400d-8cc0-77a395570ade,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
00d9bab2-fd38-43c8-8f20-0d89570010ae,alias,Kenneth Tobia Minimah,Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah,81 Division,Commander,General Officer Commanding,Major General,Army Withdraws Troops From Lagos Security Outfit,,2012-02-08,,http://allafrica.com/stories/201202090963.html,No archive available,,00d9bab2-fd38-43c8-8f20-0d89570010ae,,United Kingdom,United KingdomThe Moment,The Moment,3dc08678-6dab-4ae9-ae03-49dd16373d37
017326a6-80d1-44de-ad81-a72f47318254,alias,Tukur Yusufu Buratai,Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai,Nigerian Army Headquarters,Commander,Chief of Army Staff,Lieutenant General,Why insecurity is escalating – Buratai,,2017-08-05,,http://thenationonlineng.net/insecurity-escalating-buratai/,https://web.archive.org/web/20170906155743/http://thenationonlineng.net/insecurity-escalating-buratai/,2017-09-06T15:57:43,017326a6-80d1-44de-ad81-a72f47318254,,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
017326a6-80d1-44de-ad81-a72f47318254,alias,Tukur Yusufu Buratai,Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai,Nigerian Army,Commander,Chief of Army Staff,Lieutenant General,Why insecurity is escalating – Buratai,,2017-08-05,,http://thenationonlineng.net/insecurity-escalating-buratai/,https://web.archive.org/web/20170906155743/http://thenationonlineng.net/insecurity-escalating-buratai/,2017-09-06T15:57:43,017326a6-80d1-44de-ad81-a72f47318254,,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
017326a6-80d1-44de-ad81-a72f47318254,alias,Adeniyi Oyabade,Adeniyi Oyebade,1 Mechanised Division,Commander,General Officer Commanding,Major General,Why insecurity is escalating – Buratai,,2017-08-05,,http://thenationonlineng.net/insecurity-escalating-buratai/,https://web.archive.org/web/20170906155743/http://thenationonlineng.net/insecurity-escalating-buratai/,2017-09-06T15:57:43,017326a6-80d1-44de-ad81-a72f47318254,,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
01a93cea-4492-4554-a59c-aaad75daa2d7,name,Adamu T. Ibrahim,Adamu Ibrahim ; A. T. Ibrahim ; AT Ibrahim,82 Division,Commander,General Officer Commanding,Major General,Army Chief Commends Akwa Ibom Government On Niger Delta Crisis,,2007-10-17,,http://allafrica.com/stories/200710170114.html,No archive available,,01a93cea-4492-4554-a59c-aaad75daa2d7,,Nigeria,NigeriaLeadership,Leadership,8f96e06a-1bfa-47a4-b05f-e6360770aca4
02dba175-d2cf-4eb1-87d5-22207adb3155,alias,Azubuike Onyeabo Ihejirika,Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika,Nigerian Army Headquarters,Commander,Chief of Army Staff,Lieutenant General,Crime - Army to Deploy Soldiers to Ogun,,2012-11-21,,http://allafrica.com/stories/201211210812.html,No archive available,,02dba175-d2cf-4eb1-87d5-22207adb3155,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
02dba175-d2cf-4eb1-87d5-22207adb3155,alias,Azubuike Onyeabo Ihejirika,Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika,Nigerian Army,Commander,Chief of Army Staff,Lieutenant General,Crime - Army to Deploy Soldiers to Ogun,,2012-11-21,,http://allafrica.com/stories/201211210812.html,No archive available,,02dba175-d2cf-4eb1-87d5-22207adb3155,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
02dba175-d2cf-4eb1-87d5-22207adb3155,alias,Kenneth Tobia Minimah,Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah,81 Division,Commander,General Officer Commanding,Major General,Crime - Army to Deploy Soldiers to Ogun,,2012-11-21,,http://allafrica.com/stories/201211210812.html,No archive available,,02dba175-d2cf-4eb1-87d5-22207adb3155,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
